,DESC_KOR,NN,category
5036,키즈스토리 케이크,스토리,0
5037,바스크 치즈케이크,바스크,0
5038,리얼캐롯,리얼,18
5039,러브러브초코,러브러브,0
5040,진한 가나슈 쇼콜라 케이크,진한,63
5041,진한 마스카포네 티라미수 미니,진한,63
5042,진한 가나슈 쇼콜라,진한,63
5043,진한 마스카포네 티라미수,진한,63
5044,꽃밭에서 붕붕벌,꽃밭에서,0
5045,리얼캐롯 케이크,리얼,18
5046,마카롱쇼콜라,마카롱,164
5047,스페셜2호,스페셜,0
5048,에뚜아르쇼콜라,쇼콜라,111
5049,축하3호,nan,0
5050,스트로벨벳치즈케이크,스트로,87
5051,"치즈가 두번 반한 딸기, 초코 케이크",치즈,3
5052,카카오초코앤딸기,카카오,221
5053,까망베르&초코브라우니,베르,0
5054,벨기에 밀크쇼콜라,벨기에,0
5055,딸기&치즈케이크,딸기,5
5056,벨기에밀크쇼콜라 7호,벨기에,0
5057,벨기에 화이트초코6호,벨기에,0
5058,스트로베리 퀸 (Queen),스트로,87
5059,호두아몬드커플,호두,81
5060,스트로베리 서프라이즈,스트로,87
5061,호두아몬드파티,호두,81
5062,순수秀우유케이크,순수,137
5063,BT21 세븐컬러스케이크 (7colors),21,0
5064,내가찾던 카페모카 커플,카페모카,278
5065,가나슈 조각케이크,가나슈,0
5066,내가찾던 카페모카 가족,카페모카,278
5067,치즈가 반한 티라미수,치즈,3
5068,오후의 마카롱모카,마카롱,164
5069,초코반딸기반케이크,코반,0
5070,마카롱모카파티,마카롱,164
5071,마이넘버원2,넘버원,0
5072,블루베리요거트 듬뿍,블루베리,7
