,DESC_KOR,NN
72431,칸투치니 아몬드 쿠키,아몬드
72432,콜루시 솔티드 크래커,콜
72433,눈꽃치즈케익,눈꽃
72434,딸기눈꽃치즈케익,딸기
72435,쇼콜라롤케익,쇼콜라
72436,순백롤케익,nan
72437,초코눈꽃치즈케익,초코
72438,호박치즈케익,호박
72439,찹쌀 김부각,찹쌀
72440,전통맛 김부각,김
72441,강황 김부각,강황
72442,찹쌀 다시마 부각,찹쌀
72443,수제통밀호두피칸쿠키,밀
72444,수제통밀쵸코칩쿠키,nan
72445,수제통밀오트밀쿠키,밀
72446,비건단팥빵,단팥빵
72447,고구마무스케익,고구마
72448,다크기리쉬케익,다크
72449,단호박파운드케익,호박
72450,딸기무스케익,딸기
72451,모카무스케익,모카
72452,무설탕호밀빵,설탕
72453,밤식빵,식빵
72454,비건 쵸코칩머핀,nan
72455,비건모닝빵,모닝
72456,비건식빵,식빵
72457,비건코코넛빵,코코넛
72458,비건핫도그빵,핫도그
72459,비건햄거버빵,버
72460,비건호두머핀,건호
72461,아몬드소보로빵,아몬드
72462,초코파운드케익,초코
72463,크렌베리보리빵,nan
72464,통밀식빵,밀
72465,플레인파운드케익,플레인
72466,커피마카롱,커피
72467,초코바닐라마카롱,초코
72468,초코가나슈마카롱,초코
72469,순수 바닐라 마카롱,순수
72470,단호박 마카롱,호박
72471,녹차 마카롱,녹차
72472,상큼딸기 마카롱(냉동),마카롱
72473,잇리얼 렌틸칩 씨솔트,리얼
72474,잇리얼 렌틸칩 토마토 앤 바질,리얼
72475,잇리얼 베지칩 스트로우 멀티팩,리얼
72476,잇리얼 유기농 렌틸칩,리얼
72477,잇리얼 유기농 베지칩 스트로우,리얼
72478,잇리얼 유기농 후무스칩,리얼
72479,잇리얼 칩 (후무스 렌틸 퀴노아) 멀티팩,리얼
72480,잇리얼 퀴노아칩 파프리카,리얼
72481,잇리얼 후무스칩 사우어크림 앤 차이브,리얼
72482,잇리얼 후무스칩 씨솔트,리얼
72483,잇리얼 후무스칩 토마토 앤 바질,리얼
